Typ;Ns_Number;Dovod
Chyba;H0601095;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601479;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0601170;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1301449;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0403815;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0403814;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0400027;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HL-HF3062;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1701885;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1700273;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H1719023;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HD0089;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HD0109;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HD0093;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HD0026;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HD0045;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HD0035;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;HD0031;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602935;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.
Chyba;H0602930;Duplicita v ONIX-e - NS_NUMBER sa nachádza v evidencii viac krat. Zaznam nebol naimportovany.

;;;
POZNAMKA - PRESKOCENE ZAZNAMY (1 250 ks);;;
Preskocene zaznamy - dovod;;Duplicita v ONIX-e - záznam bol detegovaný ako duplicitný v indexe (pred odoslaním do ONIX API)
Riesenie;;Odstraniť duplicitné záznamy v ONIX (záznamy s IdRecord ~345000+)
Poznamka;;Individuálny zoznam preskočených záznamov bude dostupný od nasledujúcej synchronizácie
